"GRD_ID","clc_artificial","clc_agriculture","clc_forest","clc_shrub","clc_open","clc_marshes","clc_peat bogs","clc_coastal wetland","clc_rivers","clc_lakes","clc_marine waters","bio10_temp_warmQ_dC","bio12_annual_prec_mm","bio4_sd_temp"
"CRS3035RES10000mN2050000E2790000",1.63000002503395,4.83000022359193,33.8599998503924,55.8000002987683,1.30000002682209,0,0,0,0,2.58000008761883,0,20.2185497283936,1162.27893066406,500.277740478516
"CRS3035RES10000mN2050000E2800000",0.109999999403954,7.54000004380941,56.3799988813116,35.7900000177324,0,0,0,0,0,0.179999996908009,0,20.6666622161865,1091.16284179688,520.107482910156
"CRS3035RES10000mN2050000E2810000",0.150000001303852,4.92000011727214,19.8200004175305,68.6500012874603,6.45999982953072,0,0,0,0,0,0,20.7651481628418,1102.15344238281,536.026428222656
"CRS3035RES10000mN1640000E3170000",0.459999986924231,13.4699998423457,16.5299996733666,68.7700018286705,0.769999995827675,0,0,0,0,0,0,22.2759075164795,514.514953613281,633.229858398438
"CRS3035RES10000mN2050000E2820000",0.240000011399388,10.1699999999255,23.9100003615022,65.4299990390427,0,0,0,0,0,0.249999994412065,0,22.174976348877,988.528015136719,560.738342285156
"CRS3035RES10000mN2050000E2830000",0.719999987632036,60.3199993260205,4.4000001391396,32.4800007045269,0.790000014239922,0,0,0,0,1.29000004380941,0,22.2031898498535,1092.00634765625,573.498840332031
"CRS3035RES10000mN2050000E2840000",0.249999994412065,77.9900007415563,2.87000006064772,18.889999948442,0,0,0,0,0,0,0,23.4754314422607,952.926330566406,594.299987792969
"CRS3035RES10000mN2050000E2850000",0.260000000707805,63.3100000210106,3.90999987721443,32.5200010091066,0,0,0,0,0,0,0,23.7689571380615,892.8037109375,604.488098144531
"CRS3035RES10000mN2050000E2860000",0.8500000461936,53.180000372231,5.56000010110438,40.4100013896823,0,0,0,0,0,0,0,23.4830951690674,884.121948242188,608.424011230469
"CRS3035RES10000mN2050000E2870000",0,30.4400001186877,13.6399999260902,55.9199990704656,0,0,0,0,0,0,0,23.7328777313232,851.41845703125,617.529663085938
"CRS3035RES10000mN2050000E2880000",0,64.9499989114702,6.02999981492758,29.0199991315604,0,0,0,0,0,0,0,24.1764545440674,794.58837890625,627.981140136719
"CRS3035RES10000mN2050000E2890000",0.100000004749745,49.7200002893806,20.8299992606044,26.8799999263138,2.47000008821487,0,0,0,0,0,0,23.0576705932617,893.799682617188,621.50927734375
"CRS3035RES10000mN2050000E2900000",0.91000001411885,24.0899996133521,24.8100004158915,26.7299997620285,22.6199997588992,0,0,0,0,0.839999970048666,0,23.4776477813721,961.750793457031,630.783569335938
"CRS3035RES10000mN2050000E2910000",0.559999980032444,37.8099992405623,19.4200005382299,39.3300001509488,2.77000004425645,0,0,0,0,0.109999999403954,0,23.82399559021,933.541137695312,639.212463378906
"CRS3035RES10000mN1640000E3180000",0.270000004093163,25.7299995224457,14.009999576956,39.0599992126227,20.9299996495247,0,0,0,0,0,0,24.0140819549561,440.369384765625,631.138305664062
"CRS3035RES10000mN2050000E2920000",0.820000004023314,47.5899994075008,23.5499992850236,26.1100003030151,1.92999995779246,0,0,0,0,0,0,23.9279193878174,892.883178710938,645.174743652344
"CRS3035RES10000mN2050000E2930000",0.00999999974737875,48.3900004066526,10.9299998730421,35.7000000774861,4.97000007308088,0,0,0,0,0,0,23.7596111297607,872.373657226562,646.861267089844
"CRS3035RES10000mN2050000E2940000",0.49999998882413,64.9499991443008,9.47999991476535,23.8900005817413,0,0,0,0,0,1.18000004440546,0,24.11328125,864.313232421875,654.259399414062
"CRS3035RES10000mN2050000E2950000",0,23.3899997547268,28.5999990068376,18.5600005090237,0,0,0,0,1.38999996706843,28.0600011348724,0,24.6307888031006,923.677490234375,663.234558105469
"CRS3035RES10000mN2050000E2960000",0.279999990016222,33.1399996764958,39.5400004927069,24.6600002050399,2.38000005483627,0,0,0,0,0,0,23.2575168609619,1166.86547851562,651.5390625
"CRS3035RES10000mN2050000E2970000",1.60000005271286,21.159999538213,46.7800004407763,27.8200000524521,0.490000005811453,0,0,0,0,2.15000007301569,0,21.8642120361328,1238.1279296875,638.040954589844
"CRS3035RES10000mN2050000E2980000",1.27000004285946,2.12999999057501,38.0000000703149,38.5900001041591,19.3599997088313,0,0,0,0,0.650000013411045,0,17.3738880157471,1228.3193359375,607.352416992188
"CRS3035RES10000mN2050000E2990000",0.590000016381965,6.68999997433275,14.2899996135384,60.4700012947432,17.7300001494586,0,0,0,0.230000005103648,0,0,16.4380664825439,1021.59887695312,606.955627441406
"CRS3035RES10000mN2050000E3000000",1.57000003382564,29.8599997506244,22.7000007173046,43.7100006267428,2.16000005602837,0,0,0,0,0,0,19.9728717803955,793.565368652344,625.455749511719
"CRS3035RES10000mN2050000E3010000",0,43.340000603348,19.3999994546175,35.5400007218122,1.7199999652803,0,0,0,0,0,0,18.9238433837891,970.4287109375,622.370300292969
"CRS3035RES10000mN1640000E3190000",0.259999994159444,11.2800002098083,3.89000000432134,7.29999989271164,77.2700011730194,0,0,0,0,0,0,25.7720336914062,367.243041992188,626.387451171875
"CRS3035RES10000mN2050000E3020000",0,17.8299999563023,6.72000013291836,75.4500027745963,0,0,0,0,0,0,0,16.2364482879639,1124.3388671875,615.761291503906
"CRS3035RES10000mN2050000E3030000",0.359999993816018,4.84000006690621,2.19000000506639,91.7099989950657,0.899999994726386,0,0,0,0,0,0,15.9158229827881,993.947509765625,617.895751953125
"CRS3035RES10000mN2050000E3040000",0.240000011399388,3.00999991595745,2.15999996289611,92.6099985837936,1.97999995434656,0,0,0,0,0,0,16.814022064209,850.7333984375,625.150207519531
"CRS3035RES10000mN2050000E3050000",0,0.760000012814999,5.0199999473989,84.9399975501001,9.2799998819828,0,0,0,0,0,0,16.9211006164551,809.515747070312,631.247314453125
"CRS3035RES10000mN2050000E3060000",0.260000000707805,3.13999999780208,10.1200000499375,66.8700009584427,19.6100001689047,0,0,0,0,0,0,17.747465133667,744.99951171875,639.952453613281
"CRS3035RES10000mN2050000E3070000",0.8500000461936,3.08000007644296,8.00000010058284,82.8600009903312,5.20999990403652,0,0,0,0,0,0,18.936279296875,701.519165039062,650.162414550781
"CRS3035RES10000mN2050000E3080000",1.69000001624227,4.89000000525266,11.3600000739098,74.8099997639656,7.24999979138374,0,0,0,0,0,0,20.6048488616943,650.525634765625,664.977600097656
"CRS3035RES10000mN2050000E3090000",0.370000000111759,2.82999998889863,22.0300000160932,73.2599996030331,1.51000004261732,0,0,0,0,0,0,20.954174041748,599.034606933594,672.074523925781
"CRS3035RES10000mN2050000E3100000",2.9500000346161,2.30000002775341,49.4800014421344,45.2700007706881,0,0,0,0,0,0,0,21.3453731536865,618.838989257812,676.527404785156
"CRS3035RES10000mN2050000E3110000",2.46000003535301,4.01999987661838,32.6900002546609,60.0799992680549,0.349999993341043,0,0,0,0,0.400000018998981,0,20.6156463623047,680.898071289062,671.458068847656
"CRS3035RES10000mN1640000E3200000",0,1.06999999261461,0.350000010803342,11.6800002753735,86.9000017642975,0,0,0,0,0,0,25.8741016387939,334.072265625,616.037536621094
"CRS3035RES10000mN2050000E3120000",10.2100003510714,7.15000000782311,46.1899995803833,31.3200004398823,5.09000010788441,0,0,0,0,0.039999998989515,0,20.8924942016602,806.233276367188,674.456909179688
"CRS3035RES10000mN2050000E3130000",24.3799996067537,23.0399997904896,32.5899986550211,16.1299998871982,0,0,0,0,0,3.86000014841557,0,22.8353939056396,706.026611328125,688.02734375
"CRS3035RES10000mN2050000E3140000",16.2499999627471,2.74999998509884,32.4800008907914,47.300000488758,1.21999997645617,0,0,0,0,0,0,22.1343021392822,767.55419921875,684.453063964844
"CRS3035RES10000mN2050000E3150000",8.460000064224,10.7300000265241,33.8799994206056,46.450001373887,0,0,0,0,0,0.480000022798777,0,23.1288623809814,660.707763671875,691.913391113281
"CRS3035RES10000mN2050000E3160000",10.7800002442673,17.4299998907373,17.8900002501905,53.9000015240163,0,0,0,0,0,0,0,23.5589294433594,556.541198730469,696.183288574219
"CRS3035RES10000mN2050000E3170000",16.5799993847032,54.5000003650784,7.63000007718802,21.2899996899069,0,0,0,0,0,0,0,24.3267879486084,454.727783203125,704.776428222656
"CRS3035RES10000mN2050000E3180000",9.5600001513958,78.7199987913482,4.44999993778766,7.27000022307039,0,0,0,0,0,0,0,23.7774200439453,458.97216796875,701.986389160156
"CRS3035RES10000mN2050000E3190000",4.91000013425946,73.3099996461533,7.63000007718801,14.1499999910593,0,0,0,0,0,0,0,23.4734420776367,495.741851806641,700.848266601562
"CRS3035RES10000mN2050000E3200000",2.95000008773059,83.7799978442491,6.58999998122453,6.68000001460314,0,0,0,0,0,0,0,23.7207412719727,509.549407958984,701.846008300781
"CRS3035RES10000mN2050000E3210000",1.70999995898456,71.8500021845103,14.329999871552,11.8299999274313,0.279999990016222,0,0,0,0,0,0,23.3119049072266,534.227844238281,695.371337890625
"CRS3035RES10000mN1640000E3210000",2.07999995909631,25.3699999302626,0,14.1799992416054,58.3699997514487,0,0,0,0,0,0,25.603443145752,336.766235351562,600.652648925781
"CRS3035RES10000mN2050000E3220000",3.50000001490116,71.9300001859665,13.8800001703203,10.6900000944734,0,0,0,0,0,0,0,22.1365203857422,606.792114257812,684.459228515625
