"GRD_ID","bio10","bio12","bio4"
"CRS3035RES5000mN2510000E4295000",20.9944171905518,1118.63171386719,728.288452148438
"CRS3035RES5000mN2510000E4300000",20.9807777404785,1131.50732421875,732.783447265625
"CRS3035RES5000mN2510000E4305000",19.5619525909424,1175.84509277344,718.663818359375
"CRS3035RES5000mN2510000E4310000",19.7938213348389,1220.25805664062,721.266174316406
"CRS3035RES5000mN2510000E4315000",17.5760669708252,1464.224609375,697.518432617188
"CRS3035RES5000mN2510000E4320000",18.297981262207,1665.66809082031,702.9150390625
"CRS3035RES5000mN2510000E4325000",21.7597255706787,1320.44543457031,732.348693847656
"CRS3035RES5000mN2510000E4330000",17.2369937896729,1382.26123046875,687.108276367188
"CRS3035RES5000mN2510000E4335000",17.8124694824219,1429.63195800781,688.433349609375
"CRS3035RES5000mN1770000E2845000",25.7345771789551,803.418151855469,585.785888671875
"CRS3035RES5000mN2510000E4340000",17.7520732879639,1311.41418457031,684.740905761719
"CRS3035RES5000mN2510000E4345000",18.4131374359131,1283.92956542969,686.85302734375
"CRS3035RES5000mN2510000E4350000",19.6925945281982,1193.04113769531,693.771667480469
"CRS3035RES5000mN2510000E4355000",19.5233020782471,1218.72106933594,689.662048339844
"CRS3035RES5000mN2510000E4360000",17.1145076751709,1321.42443847656,667.756103515625
"CRS3035RES5000mN2510000E4365000",18.6060047149658,1344.54711914062,676.810974121094
"CRS3035RES5000mN2510000E4370000",18.1416053771973,1264.25708007812,669.385070800781
"CRS3035RES5000mN2510000E4375000",22.8624591827393,1188.56127929688,714.331970214844
"CRS3035RES5000mN2510000E4380000",20.7643051147461,1099.12683105469,693.973999023438
"CRS3035RES5000mN2510000E4385000",13.1648769378662,1498.79956054688,616.908264160156
"CRS3035RES5000mN1770000E2850000",25.3335628509521,816.812194824219,586.598876953125
"CRS3035RES5000mN2510000E4390000",19.8226528167725,1448.23327636719,693.529235839844
"CRS3035RES5000mN2510000E4395000",17.4157047271729,1268.73156738281,668.66455078125
"CRS3035RES5000mN2510000E4400000",15.4885845184326,1347.12915039062,648.621154785156
"CRS3035RES5000mN2510000E4405000",13.5792417526245,1327.31799316406,627.388549804688
"CRS3035RES5000mN2510000E4410000",15.8697004318237,1517.93823242188,657.747680664062
"CRS3035RES5000mN2510000E4415000",19.7760543823242,1346.32177734375,709.121032714844
"CRS3035RES5000mN2510000E4420000",20.520486831665,1229.15124511719,719.860229492188
"CRS3035RES5000mN2510000E4425000",22.0579853057861,1200.65539550781,739.84716796875
"CRS3035RES5000mN2510000E4430000",22.2946224212646,1131.30212402344,741.58251953125
"CRS3035RES5000mN2510000E4435000",22.2654781341553,1136.80346679688,740.449096679688
"CRS3035RES5000mN1770000E2855000",25.6936321258545,824.830322265625,592.66162109375
"CRS3035RES5000mN2510000E4440000",22.2120494842529,1148.45043945312,739.799011230469
"CRS3035RES5000mN2510000E4445000",22.5148735046387,1144.29150390625,743.635009765625
"CRS3035RES5000mN2510000E4450000",22.5306663513184,1130.22497558594,743.332153320312
"CRS3035RES5000mN2510000E4455000",22.4761047363281,1115.39965820312,741.331420898438
"CRS3035RES5000mN2510000E4460000",22.5336074829102,1083.90087890625,739.579956054688
"CRS3035RES5000mN2510000E4465000",22.6321487426758,1040.32055664062,737.290771484375
"CRS3035RES5000mN2510000E4470000",22.6576271057129,1001.02862548828,733.576904296875
