"grid_id","area_total","area_land","percent_land"
"CRS3035RES50000mN1700000E3100000",2500.01903842333,2500.01903842333,100
"CRS3035RES50000mN1700000E3150000",2500.01904423778,2500.01904423778,100
"CRS3035RES50000mN1700000E3200000",2500.01904981394,2500.01904981394,100
"CRS3035RES50000mN1700000E3250000",2500.01905515052,2500.01905515052,100
"CRS3035RES50000mN1700000E3300000",2500.01906024626,2500.01906024626,100
"CRS3035RES50000mN1700000E3350000",2500.01906509999,1531.74217503587,61.2692197599143
"CRS3035RES50000mN1700000E4550000",2500.0191069034,6.90033163208085,0.276011155795838
"CRS3035RES50000mN1700000E4600000",2500.01910549047,0.772873641969919,0.0309147094225223
"CRS3035RES50000mN1700000E4700000",2500.01910190726,32.0130381954226,1.28051174373028
"CRS3035RES50000mN1700000E4750000",2500.01909973808,63.4778646600742,2.53909518798174
"CRS3035RES50000mN1700000E4800000",2500.01909731749,916.176198028207,36.6467679791431
"CRS3035RES50000mN1700000E4850000",2500.01909464637,1902.77114946187,76.1102646590392
"CRS3035RES50000mN1700000E6450000",2500.0188833353,563.218806819696,22.52858210688
"CRS3035RES50000mN1700000E6500000",2500.01887311202,196.21869760763,7.84868865263312
"CRS3035RES50000mN1750000E2600000",2500.01897294379,156.67076360237,6.26678298436629
"CRS3035RES50000mN1750000E2650000",2500.01898110593,1968.42427054764,78.7363730205309
"CRS3035RES50000mN1750000E2700000",2500.01898904509,2497.09311987821,99.8829661222695
"CRS3035RES50000mN1750000E2750000",2500.01899675925,2500.01899675925,100
"CRS3035RES50000mN1750000E2800000",2500.01900424636,2500.01900424636,100
"CRS3035RES50000mN1750000E2850000",2500.01901150478,2500.01901150478,100
"CRS3035RES50000mN1750000E2900000",2500.01901853248,2500.01901853248,100
"CRS3035RES50000mN1750000E2950000",2500.01902532796,2500.01902532796,100
"CRS3035RES50000mN1750000E3000000",2500.01903188941,2500.01903188941,100
"CRS3035RES50000mN1750000E3050000",2500.01903821529,2500.01903821529,100
"CRS3035RES50000mN1750000E3100000",2500.01904430404,2500.01904430404,100
"CRS3035RES50000mN1750000E3150000",2500.01905015444,2500.01905015444,100
"CRS3035RES50000mN1750000E3200000",2500.01905576488,2500.01905576488,100
"CRS3035RES50000mN1750000E3250000",2500.01906113392,2500.01906113392,100
"CRS3035RES50000mN1750000E3300000",2500.0190662606,2500.0190662606,100
"CRS3035RES50000mN1750000E3350000",2500.01907114341,2483.87546346595,99.3542606188967
"CRS3035RES50000mN1750000E3400000",2500.01907578159,1390.97702801291,55.6386565801721
"CRS3035RES50000mN1750000E3450000",2500.01908017408,198.088791347568,7.9234911812663
"CRS3035RES50000mN1750000E3550000",2500.01908821714,169.447030793518,6.77782948106838
"CRS3035RES50000mN1750000E4150000",2500.01911539674,581.968771148344,23.2785728542715
"CRS3035RES50000mN1750000E4200000",2500.01911601365,1556.94199654389,62.2772036650053
"CRS3035RES50000mN1750000E4250000",2500.01911637564,426.208005459881,17.0481898585547
"CRS3035RES50000mN1750000E4750000",2500.0191059875,12.237369948,0.489491057035991
"CRS3035RES50000mN1750000E4800000",2500.01910355286,93.0899666310307,3.72357021187308
"CRS3035RES50000mN1750000E4850000",2500.01910086594,2007.24737587592,80.2892815971149
"CRS3035RES50000mN1750000E4900000",2500.01909792764,669.35407420219,26.7739584372393
