"cellcode","bio1","bio10","bio12","bio15","bio4"
"50kmE395N250",11.172290802002,19.7307395935059,1270.58666992188,15.1639995574951,657.887023925781
"50kmE400N250",7.88258838653564,16.5986576080322,1593.470703125,11.4116430282593,680.390075683594
"50kmE405N250",0.887436270713806,10.2759990692139,2127.03979492188,10.6417512893677,731.141174316406
"50kmE410N250",0.447137862443924,9.98590564727783,1428.14196777344,17.4628448486328,735.316528320312
"50kmE415N250",5.31866502761841,14.3959150314331,1735.32397460938,35.1379241943359,700.582153320312
"50kmE420N250",11.9296989440918,20.9513034820557,1642.30444335938,32.9634742736816,691.580200195312
"50kmE425N250",10.2518110275269,19.2572631835938,1534.6103515625,34.1148376464844,700.184631347656
"50kmE430N250",7.56703567504883,16.6316108703613,1498.654296875,32.7057647705078,717.126159667969
"50kmE435N250",8.28273010253906,17.1359329223633,1369.77575683594,31.4816970825195,699.699035644531
"50kmE440N250",8.73949813842773,17.5612373352051,1327.00720214844,33.7402000427246,695.5244140625
"50kmE445N250",11.7582321166992,20.8830680847168,1226.5849609375,30.0969562530518,713.22216796875
"50kmE450N250",13.6290636062622,22.8004894256592,1083.65563964844,24.8041381835938,714.129333496094
"50kmE455N250",14.1521072387695,22.828052520752,1261.32470703125,23.694730758667,666.2998046875
"50kmE460N250",11.1828918457031,20.0072994232178,1931.45874023438,21.8470134735107,680.872619628906
"50kmE465N250",8.92572593688965,17.8323001861572,1677.29675292969,21.0899600982666,691.475158691406
"50kmE470N250",10.3091726303101,19.5144443511963,1329.39770507812,21.3669204711914,720.458435058594
"50kmE475N250",11.4550914764404,21.0857543945312,1030.04309082031,21.1686305999756,753.229309082031
"50kmE340N255",13.718635559082,19.176586151123,823.880065917969,34.733341217041,415.366333007812
"50kmE345N255",13.2379865646362,20.0199108123779,860.600952148438,27.2734184265137,518.437927246094
"50kmE350N255",12.7281093597412,19.7676067352295,880.358459472656,22.6381702423096,536.739929199219
"50kmE355N255",12.2670316696167,19.4477081298828,941.992004394531,19.1206474304199,543.462890625
"50kmE360N255",11.4879732131958,18.7566719055176,1085.69445800781,16.0196628570557,546.451843261719
"50kmE365N255",10.5032663345337,17.7491874694824,1249.2421875,13.6795539855957,544.802368164062
"50kmE370N255",9.99830722808838,17.352388381958,1022.2177734375,11.8439931869507,552.63671875
"50kmE375N255",10.1949663162231,17.7606716156006,875.137756347656,20.0121002197266,569.886291503906
"50kmE380N255",10.5946998596191,18.4186115264893,993.826416015625,18.1208343505859,590.197265625
"50kmE385N255",10.7815971374512,18.8759689331055,959.322509765625,16.7912616729736,611.449035644531
